Co1,Cu1,Fe1,Mn1,Ni1,Co2,Cu2,Fe2,Mn2,Ni2,Co3,Cu3,Fe3,Mn3,Ni3,E_ads
1,0,0,0,0,0,0,1,2,3,2,0,1,0,0,-1.562254654
0,0,1,0,0,1,0,0,2,3,1,0,1,0,1,-1.476920879
0,0,0,0,1,1,0,1,2,2,0,1,2,0,0,-1.3176018
0,0,0,0,1,1,0,0,2,3,2,1,0,0,0,-1.335377797
0,0,0,1,0,2,1,1,1,1,0,1,1,1,0,-1.191026825
0,0,0,0,1,1,0,1,3,1,0,1,0,1,1,-1.330898305
0,1,0,0,0,1,0,1,3,1,1,1,1,0,0,-0.479887498
0,0,1,0,0,1,1,0,2,2,1,0,0,2,0,-1.380424874
0,0,0,0,1,2,1,1,1,1,0,1,0,1,1,-1.290569421
1,0,0,0,0,1,1,0,2,2,0,0,2,0,1,-1.666434694
1,0,0,0,0,1,0,1,3,1,0,1,1,1,0,-1.746014823
0,0,0,0,1,0,0,1,3,2,1,0,0,0,2,-1.392657682
0,0,1,0,0,1,0,0,3,2,0,0,1,0,2,-1.599650178
1,0,0,0,0,0,0,1,3,2,2,0,1,0,0,-1.671365961
0,0,0,0,1,1,0,0,3,2,2,0,1,0,0,-1.31076879
0,0,0,0,1,1,0,1,2,2,2,0,0,0,1,-1.343641159
0,0,1,0,0,1,2,0,2,1,0,0,1,2,0,-1.504940907
0,0,0,1,0,1,2,0,2,1,0,1,0,0,2,-1.371992999
1,0,0,0,0,1,1,1,2,1,1,0,0,1,1,-1.686070014
1,0,0,0,0,1,2,0,2,1,1,0,2,0,0,-1.488067506
0,0,0,1,0,2,1,1,2,0,1,1,0,1,0,-1.704026836
0,0,0,0,1,2,1,1,2,0,0,0,2,0,1,-1.357635314
0,0,0,0,1,2,1,3,0,0,2,0,0,0,1,-1.305924473
1,0,0,0,0,0,1,2,1,2,1,0,0,2,0,-1.554593062
0,0,0,0,1,2,1,3,0,0,1,0,0,2,0,-1.338331031
1,0,0,0,0,0,1,2,1,2,2,1,0,0,0,-1.596230807
0,0,1,0,0,2,0,1,1,2,1,0,0,2,0,-1.480988706
0,0,1,0,0,0,1,2,1,2,0,0,1,1,1,-1.612835175
0,0,1,0,0,2,0,1,1,2,2,0,1,0,0,-1.447877593
0,0,1,0,0,2,1,1,1,1,1,0,1,1,0,-1.37655118
0,0,0,0,1,2,1,1,1,1,1,1,0,0,1,-1.343969339
1,0,0,0,0,0,1,2,1,2,2,0,0,1,0,-1.604663726
0,0,0,0,1,0,1,2,1,2,0,1,1,0,1,-1.316507365
0,0,1,0,0,2,0,1,0,3,2,0,1,0,0,-1.199024173
1,0,0,0,0,0,1,2,1,2,2,1,0,0,0,-1.590143601
0,0,0,0,1,2,1,1,1,1,2,1,0,0,0,-1.337379256
0,0,0,0,1,0,2,1,1,2,0,1,2,0,0,-1.310577367
0,1,0,0,0,0,2,0,2,2,2,0,1,0,0,-0.531246873
0,0,0,0,1,0,2,1,1,2,0,1,2,0,0,-1.310481303
0,0,0,1,0,0,2,1,1,2,0,0,0,2,1,-1.200230439
0,1,0,0,0,0,2,1,1,2,1,0,0,1,1,-0.530864612
0,0,1,0,0,0,2,0,2,2,0,1,0,1,1,-1.601661763
0,0,0,0,1,0,2,1,1,2,1,0,1,1,0,-1.346074547
0,0,0,0,1,0,2,0,2,2,0,0,1,2,0,-1.252132772
0,0,1,0,0,1,2,1,1,1,1,0,0,1,1,-1.485612004
0,1,0,0,0,0,2,2,1,1,1,1,0,0,1,-0.513553775
0,0,1,0,0,0,2,2,1,1,0,1,1,1,0,-1.505126104
0,0,0,0,1,1,2,3,0,0,2,0,1,0,0,-1.365901538
0,0,1,0,0,1,2,1,1,1,0,1,2,0,0,-1.454103066
0,1,0,0,0,1,2,3,0,0,1,1,0,1,0,-0.488150219
0,0,0,1,0,1,2,3,0,0,0,1,1,0,1,-1.246097484
1,0,0,0,0,0,2,2,1,1,2,0,1,0,0,-1.645799665
0,0,0,0,1,1,0,3,2,0,2,0,0,0,1,-1.296054286
0,0,1,0,0,0,0,2,3,1,1,0,1,0,1,-1.781586091
1,0,0,0,0,0,0,2,3,1,0,1,1,0,1,-1.777739155
0,0,1,0,0,1,0,1,3,1,0,0,0,0,3,-1.705255349
0,0,0,0,1,2,1,0,1,2,1,2,0,0,0,-1.361130816
1,0,0,0,0,2,1,0,1,2,0,2,1,0,0,-1.551856025
0,0,0,0,1,2,1,0,2,1,1,1,1,0,0,-1.340207882
1,0,0,0,0,2,1,0,2,1,1,1,0,1,0,-1.644255937
0,0,0,0,1,2,1,0,2,1,1,2,0,0,0,-1.34379871
1,0,0,0,0,2,0,0,1,3,2,0,1,0,0,-1.472139414
0,0,1,0,0,2,2,0,1,1,0,2,0,0,1,-1.482917511
0,0,0,0,1,2,2,0,1,1,1,0,1,0,1,-1.269353611
1,0,0,0,0,1,1,1,1,2,2,1,0,0,0,-1.649130759
1,0,0,0,0,1,1,1,1,2,2,1,0,0,0,-1.64898718
1,0,0,0,0,1,1,1,2,1,1,1,0,0,1,-1.734630882
0,0,0,0,1,1,1,1,2,1,1,1,1,0,0,-1.362693399
0,0,0,1,0,1,1,1,1,2,1,0,0,0,2,-1.187911111
1,0,0,0,0,1,2,1,0,2,1,0,1,1,0,-1.507009096
1,0,0,0,0,1,3,1,0,1,0,1,0,2,0,-1.621897803
0,1,0,0,0,2,1,2,0,1,1,0,0,2,0,-0.578177955
0,1,0,0,0,1,2,1,0,2,0,1,0,2,0,-0.521941201
0,0,1,0,0,1,2,1,0,2,1,1,1,0,0,-1.309134221
0,0,1,0,0,1,3,1,0,1,0,0,2,1,0,-1.337733858
0,0,0,0,1,2,1,2,0,1,1,0,1,1,0,-1.326757344
0,0,0,0,1,1,3,1,0,1,2,1,0,0,0,-1.364525353
0,0,1,0,0,2,0,1,1,2,0,1,1,1,0,-1.336726337
0,0,0,1,0,1,1,2,0,2,0,0,1,2,0,-1.057085686
0,0,0,0,1,1,1,2,0,2,0,3,0,0,0,-1.402679814
0,0,0,0,1,1,1,1,1,2,0,2,0,1,0,-1.282908992
0,0,1,0,0,1,1,1,1,2,0,1,2,0,0,-1.379353543
1,0,0,0,0,1,1,2,0,2,0,2,1,0,0,-1.483861358
1,0,0,0,0,1,1,1,1,2,0,2,0,1,0,-1.613486875
0,0,0,0,1,2,0,1,1,2,0,2,0,1,0,-1.338100408
0,1,0,0,0,1,1,2,2,0,1,0,1,0,1,-0.482505759
0,0,0,0,1,1,1,2,2,0,0,1,2,0,0,-1.320024404
1,0,0,0,0,0,2,1,1,2,0,1,1,1,0,-1.590051974
